day,time,,
2016/4/1　(土),歩行者天国: 11:00-19:00,道路沿い屋台: 11:00-18:00,交通規制: 10:30-19:00
2016/4/2　(日),歩行者天国: 10:00-18:00,道路沿い屋台: 10:00-17:00,交通規制: 9:30-18:00
